L-R,s1r2,s1r6,s2r1_HV203,s2r1_HV207,s2r7_a,s2r7_b,HV171A,HV191A_A,HV191A_B,HV205A,HV205B,HV220A_A,HV220A_B,s1r1_a,s1r1_b,s1r3,s1r5,s2r2_HV137,s2r2_HV184,s2r3,s2r8_HV185,HV137A,HV140A_A,HV140A_B,HV160C_A,HV160C_B,HV198B_A,HV198B_B,HV219AB_A,HV219AB_B,HV219AS_A,HV219AS_B,HV219AS_C
CFH-SELL,-0.6002150711469652,-0.6002150711469652,-0.4365825593497454,-0.3542807703113978,-0.6002150711469652,0.7339388565397272,-0.6002150711469652,-0.6002150711469652,-0.40601268147873126,-0.6002150711469652,-0.6002150711469652,0.43776802791335895,-0.6002150711469652,-0.6002150711469652,-0.6002150711469652,-0.5064149562826187,-0.45745241163072947,-0.6002150711469652,1.1682994978052457,-0.16427153849304843,2.6795471556093937,-0.6002150711469652,-0.5243791588241903,-0.0020560860420963025,-0.6002150711469652,-0.6002150711469652,3.145374645840237,0.8622281346245297,-0.6002150711469652,-0.6002150711469652,0.4527646837978411,2.3374792470619616,0.6374910515717047
COL16A1-ITGA1,-0.6389705102457606,-0.8597056602513663,0.4358174919247615,0.016073530812902286,-0.7888628452567128,0.24795716693910094,-1.309682788467512,-0.42618589320978734,-0.05693574320379575,-1.309682788467512,-1.291497418834636,1.9226358264820846,-0.35409934079470884,-1.2697997582016103,-0.8023043134988812,-0.4838677118052432,-0.24372257267169214,-0.2323093340704917,1.4093927461912352,0.05123224648895498,0.9365458689462686,0.36727532846973476,1.3069836601454374,0.48260938000897774,-0.4444319028285043,-1.0627696713261943,2.4658368589916884,2.1975672226745435,0.2358772953638956,0.27982502895319744,0.038712324020059544,-1.309682788467512,0.49016906518907827
COL17A1-ITGA1,-0.46807008354944574,-1.2206165204080355,-0.23546212003548675,-0.2267619798424203,-0.752822047333895,-0.3953578085223963,-1.2578162691595207,-0.9437867041493428,-0.11311488101926545,-1.2578162691595207,-1.2578162691595207,2.0913264880784967,0.0016007067123346285,-1.1744947875809928,-1.1083827457428796,-0.29528792217621175,-0.6630842071161172,-0.09784161959587369,1.1780957527127183,-0.28409137550352886,0.9500281627462505,0.4547455646587425,1.15286108221177,0.5709153316881814,-0.6886428437773269,-0.7716905342261712,2.4040339985648593,2.0226510027877596,-0.3357274969820665,0.35749746364788304,0.6877487663161901,0.8383214059078373,0.8388587590069918
COL5A2-SDC1,-0.986399891007074,-0.35001100234168725,-0.8354301557761525,-0.25539823553355134,-1.0081417075920804,-0.6651592460051331,-0.6708776049207835,-0.7023224796010875,-0.8959919582666508,-0.37571550890901284,-0.7482330805790356,-0.4249429920249561,-1.1100352592865819,-0.13898575427627416,-0.14409554982103798,-0.040257441210186776,-0.39560437064375825,-0.2928823154281062,0.49600603720185815,0.861383063575035,-0.7366948398273168,-0.04872560227610707,0.4562363097427638,0.48135022453603676,0.02674409017542908,-0.5678272641729428,1.5151055814423622,0.7214676011220624,0.23816182143427328,0.9461036435500926,1.4091858633056114,4.181532985961093,0.06045503745290614
COL5A2-CD93,-0.8906652728813769,-1.1372348633559808,0.41385613097062957,-0.1740473036526,-1.0520561818152172,-0.3300325999037183,-1.4042741107747454,-0.854354368077409,-0.3415443245420209,-1.2703017598007078,-0.9374664689166595,1.429797892425352,0.14314792150810712,-0.7049011888615326,-0.36155509471767705,-0.3281605338153171,-0.07414821553309733,-0.4807244631622581,0.003670329593863622,-0.16044049517532089,0.8965679370181968,0.22249772819326225,1.0285436951837021,0.6327198326228403,-0.6549702002226726,-0.6853108887710767,1.4351312189215395,1.0740210526259366,-0.35248299612318956,1.0332555594705872,0.185974743323599,3.670444081860836,0.025043206384118985
COL5A2-ITGA1,-0.9736562948507801,-0.7480839085364651,0.45307309778553806,0.011491065806539476,-0.7264331868277532,0.2387419837048906,-1.5016893911576235,-0.5662945315828981,-0.16175888505666305,-1.5016893911576235,-1.1817010058474535,1.2600570835379838,-0.30464378998064107,-1.3143166090627867,-0.4161003934581782,-0.5924681671152559,-0.4347511034600511,-0.45994872807401466,1.1409565329958802,-0.077945113736355,0.8017536970263678,0.445312323851603,0.5656330411760939,0.4449506430842837,-0.4607496286885703,-0.785177490123242,2.119889456033873,1.6754540377042626,-0.07863388148383743,0.6068595424149112,-0.47540107969370043,2.952439560588083,0.04483051418358492
COL8A1-ITGA1,-0.4435561017223077,-0.26418169708674966,-0.037496202354607724,-0.4197884661797758,-0.8587472888972532,-0.1792003677792696,-1.3457107480732742,-0.11226265088439438,0.17016731937370333,-1.3457107480732742,-1.3457107480732742,1.312070883648237,-0.42110183111863253,-1.1229744536566637,-0.6078722454764965,-0.18723534212693008,-0.4010016372717914,-0.05814376155010474,1.3106990288338731,-0.06328389032178564,1.2643509618974957,0.1466365073536093,1.1616435881337748,0.7889814509417735,-1.0602590743059206,-1.1179842580872292,2.115737515855487,2.520549201136941,1.0342295118304523,0.39609667496695966,-0.4104803240022415,-1.3457107480732742,0.9272499411429436
CSF3-CSF3R,-0.36444972379596213,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,0.9772649828892356,-0.2743486095324546,1.4297991398926384,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,-0.4469742223292717,3.833797883808184,3.0287899620610594,-0.4469742223292717,-0.4469742223292717,1.0731012827075788,0.3613688795578664,-0.4469742223292717,-0.4469742223292717,0.006001659487927028,-0.4469742223292717,0.20908165649717625
CSF3-CSF2RA,2.606490147013761,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.49775741905103355,-0.3181043244461366,-0.49775741905103355,-0.49775741905103355,0.3685616403910471,-0.1222415882589018,-0.49775741905103355,-0.49775741905103355,-0.1229499392231907,1.5234416594159708,-0.49775741905103355,-0.49775741905103355,2.0805731150027795,3.3909883589586913,-0.49775741905103355,-0.49775741905103355,0.9578503985476285,-0.49775741905103355,1.0838111707721247
CXCL1-ACKR1,-0.13043243353160416,-0.758837301229465,1.6315539407913633,0.2341303563675011,-0.758837301229465,-0.758837301229465,-0.758837301229465,-0.758837301229465,0.20892160519891065,-0.758837301229465,-0.758837301229465,-0.758837301229465,1.8388424731717024,-0.758837301229465,-0.758837301229465,-0.3972074110570646,-0.5441933386498398,1.9553168085790154,-0.758837301229465,0.01661472829706811,0.43024146874289976,-0.1502041172436115,1.2804900836541993,-0.758837301229465,-0.758837301229465,-0.758837301229465,1.8851909124193875,1.3314155548339048,-0.758837301229465,1.9038402152775025,-0.758837301229465,1.4057132740495708,-0.758837301229465
CXCL10-ACKR1,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.43780538001300157,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,0.28167027303345443,0.5150753721725126,-0.45312355758950623,-0.08624777265435482,-0.09547633388176137,0.3471820121492352,-0.45312355758950623,0.3584009562312507,1.5071413976191914,-0.45312355758950623,-0.45312355758950623,3.4980977006881857,3.597090813509211,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,-0.45312355758950623,0.4835892281152102
