L-R,s1r2,s1r6,s2r1_HV203,s2r1_HV207,s2r7_a,s2r7_b,HV171A,HV191A_A,HV191A_B,HV205A,HV205B,HV220A_A,HV220A_B,s1r1_a,s1r1_b,s1r3,s1r5,s2r2_HV137,s2r2_HV184,s2r3,s2r8_HV185,HV137A,HV140A_A,HV140A_B,HV160C_A,HV160C_B,HV198B_A,HV198B_B,HV219AB_A,HV219AB_B,HV219AS_A,HV219AS_B,HV219AS_C
CD28-CD4,0.2669154183359679,0.0,0.2939213283110098,0.4018559122377455,0.10701986383005409,0.32468535171829704,0.1474268981949903,0.3645713478136783,0.4146360979014456,0.15053334816181765,0.16510539325621826,0.46638968349162646,0.2203384716711987,0.17992422521646667,0.16543682006916685,0.27315913872704023,0.21702200361161428,0.18563318220900543,0.5705762085003312,0.3342232743397394,0.9266086897790093,0.21173667339829036,0.16723940043311636,0.43237711061059203,0.0,0.192579101950979,1.0,0.5909848036805422,0.3264130543416039,0.185978818192005,0.3194055806084789,0.43807637444009256,0.4190678894673261
CD34-SELL,0.0,0.0,0.09300863715177247,0.06006039525971242,0.0,0.5226470413358774,0.0,0.01015795949428301,0.048023320227471814,0.0,0.0,0.39415683364431786,0.0,0.017741327992944814,0.02292630444205789,0.097768787584734,0.02031705879551121,0.0,0.9439633517193433,0.16108179613434268,0.8210454968441977,0.0,0.09094857892502649,0.28752768624673664,0.0,0.0,1.0,0.4732327910541734,0.04337655023893021,0.0,0.2669448277445321,0.919937945793732,0.4103295111734104
CD34-SELE,0.08164185201357856,0.5995416036709056,0.3203005790094849,0.15411588249104133,0.11640943016167145,0.59098034083196,0.16480584157749487,0.6238549461714288,0.5986565050053166,0.035742173615080176,0.0,0.1362531691707357,0.2714552982243613,0.21749129315566298,0.3290665941310457,0.7912296878673848,0.18627767078762977,0.28337079535631204,0.6126056954840217,0.6258635978195025,0.4535925284412088,0.3790624173479531,1.0,0.8166711484128041,0.17592987720940462,0.320042319522623,0.9813524313008295,0.5253374041391993,0.25693995467506897,0.5098430731908663,0.5695357579320262,0.6628306077124957,0.8064823979554134
CD86-CD28,0.02424194989982257,0.0,0.08218783322470503,0.12885647287712448,0.0,0.15764355724329082,0.059983869265528886,0.08983364475261048,0.14572863721908894,0.0033541182392189768,0.0009691202289546476,0.3577632951882461,0.13504430603009152,0.04626495701705271,0.01899806971906325,0.11743199523766569,0.05533334029313218,0.10523888698802808,0.45559892308457783,0.19158991148160426,0.5820216385335414,0.08488499236177222,0.04312889773637204,0.2132927862478821,0.0,0.015834732312384112,1.0,0.4103894619922949,0.0,0.004563366130726818,0.2710078212020693,0.0,0.49064525702834555
CD86-CTLA4,0.012510042067511749,0.0,0.03423282504125672,0.04825797911334342,0.0,0.2451103189131902,0.0,0.060937526566653286,0.09235105770372648,0.0,0.0,0.09454989241095807,0.0,0.0,0.0,0.1065669805130477,0.0,0.0008064912040740484,0.34465239691044053,0.25618633617817504,0.462281589609472,0.009107146827543855,0.0,0.15590157528554252,0.0,0.0,1.0,0.347549292397481,0.0,0.0,0.07007815555165128,0.0,0.24563477203671585
CFH-CFB,0.3888556078066029,0.0,0.2926700558889179,0.1811346319596943,0.08484550281393907,0.2522819190405505,0.13578088969163543,0.1434236458727133,0.3288264772126619,0.10200464147552397,0.15560908257730596,0.44725791453042063,0.17090587759310488,0.15472457627982247,0.209739301152549,0.34427438583013725,0.20901893880190459,0.04420103379488535,0.328996614305834,0.5693678712493072,0.37502414580582855,0.11609662057241307,0.39393799667017865,0.39697201326235776,0.08893154043444984,0.21146371440443373,0.34751351017366583,0.25019577529262926,0.12134265303263236,0.1424182416382342,0.3692138864328399,1.0,0.3419482798191943
CFH-SELL,0.0,0.0,0.043686715353554256,0.06565970098652095,0.0,0.35619329090849566,0.0,0.0,0.05184828140345341,0.0,0.0,0.27712140877384583,0.0,0.0,0.0,0.02504281620566693,0.03811486849955048,0.0,0.4721591798833565,0.11638849035621865,0.8756330710440074,0.0,0.02024672162539312,0.15969687827582013,0.0,0.0,1.0,0.3904440465379705,0.0,0.0,0.28112522580069976,0.7843075564004609,0.3304435926618865
COL16A1-ITGA1,0.17764767259868947,0.1191828331548918,0.4623205395228011,0.3511453900584531,0.13794655884291154,0.41256306438634294,0.0,0.2340067004689775,0.3318078469295673,0.0,0.004816653422824672,0.8561254917915312,0.25309984767683014,0.010563586999935688,0.1343863950781132,0.21872885159477717,0.28233470232718183,0.28535766066587864,0.7201857727024662,0.3604576752427491,0.5949455617123904,0.4441661740697824,0.6930612718103266,0.4747140356381519,0.22917398568467068,0.06539844582916743,1.0,0.9289449767536817,0.4093635388367051,0.42100372024031063,0.35714159596414674,0.0,0.4767163256236346
COL17A1-ITGA1,0.21566861773975665,0.01015873015873,0.279190593382554,0.28156647976702737,0.13790684624017932,0.23552532123960668,0.0,0.08575707417041067,0.31260191008618665,0.0,0.0,0.91460396039604,0.34392912975508066,0.02275392915787,0.04080820145317,0.26285300506879067,0.16241299303944332,0.3167728237791933,0.6652134423251587,0.26591062508437935,0.6029313790806127,0.4676766412086307,0.658322207387628,0.49940097686849133,0.155433287482806,0.13275412684622065,1.0,0.8958496476115867,0.251809523809524,0.4411195474170013,0.5313065508505247,0.5724258289703313,0.5725725725725727
COL5A2-SDC1,0.02336459865003987,0.1436293026415123,0.05189484303770445,0.1615092131752387,0.01925583248142197,0.08407262132185275,0.0829919664666903,0.07704951741889725,0.04044988009219422,0.1387716677446345,0.06837333696536531,0.12946866326006526,0.0,0.18350883140974344,0.1825431827952041,0.20216649743432036,0.13501307278507643,0.15442547577315205,0.30350951212446625,0.37255842341864065,0.07055383246631275,0.20056618526343878,0.2959938332905381,0.3007398582172368,0.2148284396564186,0.10246640881946342,0.49609883479941264,0.34611721431609727,0.25478213985649006,0.38856890954459106,0.47608213781513453,1.0,0.2211991308608177
COL5A2-CD93,0.10120933190708331,0.05262149291487581,0.3582721587149097,0.24242268445712856,0.06940640161470758,0.21168495867021023,0.0,0.1083645873174551,0.20941651258092622,0.026399958754056155,0.09198690925055031,0.558468844105057,0.3049276774675818,0.13781512497149911,0.20547328471761436,0.2120538591721372,0.26210832695536146,0.18199033178881543,0.27744288193417604,0.24510397787299257,0.45339306744794583,0.32056397561716327,0.47939958705272473,0.4014004061060309,0.14765428977700887,0.14167549698563092,0.5595198042359915,0.48836114032837874,0.2072609896206478,0.4803280847757555,0.31336692871066407,1.0,0.2816545200939603
COL5A2-ITGA1,0.11854912644589945,0.1691925606073434,0.4388652663899709,0.33972533650403236,0.17405338119499755,0.39074561911378586,0.0,0.21000623684415692,0.30082885354628125,0.0,0.07184084447863975,0.6200418767878726,0.2687496509744794,0.04206721092378787,0.24372644112020386,0.20412997331072252,0.23953915552431576,0.23388201697108915,0.593302518356091,0.3196459493754128,0.5171478224224296,0.43712288891998474,0.4641361879573495,0.43704168768597523,0.23370220614315124,0.16086465138229977,0.8130835201284622,0.7133029742249982,0.3194913135858018,0.47339198222946177,0.23041279733531062,1.0,0.3472104023245849
COL8A1-ITGA1,0.23334040085309196,0.279735213150232,0.3383669393429957,0.23948784977136428,0.12595207398703132,0.3017154551473692,0.0,0.3190287547635911,0.39207867224671106,0.0,0.0,0.6874296262113552,0.2391481506936742,0.05761027384154813,0.19084037604545978,0.2996372259405354,0.2443470235348413,0.3330264916062327,0.6870747988504469,0.3316970081159333,0.6750869688686979,0.38599247723416386,0.648521922774293,0.5521336451914245,0.07383147473714605,0.05890097742459455,0.8952963094568572,1.0,0.6155665400589249,0.45051482464236364,0.24189538115823744,0.0,0.5878964992202683
CSF3-CSF3R,0.01927794717569572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33270614970989415,0.040325812380743,0.43841935886545574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8119479613051666,0.0,0.0,0.3550937698499479,0.18883114584123628,0.0,0.0,0.10581639727276192,0.0,0.1532564365867184
